     sname     | u  | v  | w  |     x      |     y      |     z      
---------------+----+----+----+------------+------------+------------
 Akaka         | 20 | 11 |  5 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Biden         | 20 | 10 |  6 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Bond          | 18 | 10 |  6 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Breaux        | 20 |  9 |  7 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Brown         | 19 |  9 |  7 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Bumpers       | 21 | 12 |  5 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Byrd          | 15 |  4 | 11 | 1998-10-10 | 1997-11-12 | n/a
 Coats         | 18 | 11 |  5 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Cochran       | 19 | 12 |  4 | 1998-10-10 | 1994-06-07 | 1994-03-01
 Cohen         | 21 | 13 |  5 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Craig         | 19 | 12 |  4 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Cranston      | 20 | 14 |  3 | 1998-10-10 | 1994-03-06 | 1994-03-01
 Danforth      | 18 | 11 |  5 | 1998-10-10 | 1997-11-12 | 1994-03-01
 DeConcini     | 20 |  9 |  7 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Dodd          | 20 | 12 |  4 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Dole          | 19 | 14 |  2 | 1998-10-10 | 1994-03-04 | 1994-03-01
 Durenberger   | 19 | 10 |  6 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Feinstein     | 20 | 13 |  5 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Ford          | 20 | 11 |  5 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Fowler        | 19 | 12 |  4 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Gorton        |  3 |  3 |  0 | 1998-10-10 | n/a        | n/a
 Graham        | 20 | 12 |  5 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Grassley      | 19 | 11 |  5 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Harkin        | 20 | 11 |  5 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Heflin        | 22 | 13 |  5 | 1998-10-10 | 1995-06-08 | 1994-03-01
 Helms         | 10 |  4 |  3 | 1998-10-10 | 1995-06-08 | 1994-03-01
 Hutchinson    |  0 |  0 |  0 | n/a        | n/a        | n/a
 Inouye        | 20 |  9 |  7 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Johnston      | 20 |  8 |  8 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Kassebaum     | 20 |  9 |  9 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Kennedy       | 19 | 10 |  5 | 1998-10-10 | 1997-11-12 | 1993-06-09
 Kerry         | 19 | 11 |  5 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Levin         | 20 | 11 |  6 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Lieberman     | 20 |  9 |  7 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Lott          | 21 | 12 |  6 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Lugar         | 18 |  9 |  6 | 1998-10-10 | 1994-05-05 | 1993-06-09
 Mack          | 19 | 13 |  4 | 1998-10-10 | 1994-05-05 | 1994-03-01
 McCain        | 19 | 11 |  5 | 1998-10-10 | 1997-11-12 | 1994-03-01
 McConnell     | 19 | 12 |  4 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Mikulski      | 21 | 14 |  3 | 1998-10-10 | 1994-05-02 | 1993-09-27
 Mitchell      | 22 | 10 |  7 | 1998-10-10 | 1997-11-12 | 1993-06-01
 Moseley-Braun | 20 | 14 |  4 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Murkowski     | 19 |  9 |  7 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Nunn          | 19 |  9 |  7 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Pryor         | 24 | 16 |  4 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Riegle        | 20 | 10 |  7 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Roth          | 19 |  9 |  7 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Sarbanes      | 20 | 10 |  5 | 1998-10-10 | 1997-11-12 | 1993-10-11
 Shelby        | 20 |  9 |  7 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Simon         | 20 | 11 |  6 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Simpson       | 19 | 13 |  3 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Stevens       | 19 |  8 |  7 | 1998-10-10 | 1995-06-08 | 1993-10-11
 Symms         | 19 | 10 |  6 | 1998-10-10 | 1997-11-12 | 1994-03-01
 Webster       |  0 |  0 |  0 | n/a        | n/a        | n/a
 Wellstone     | 20 | 10 |  5 | 1998-10-10 | 1997-11-12 | 1993-09-27
 Wirth         | 20 | 10 |  5 | 1998-10-10 | 1997-11-12 | 1993-10-11
(56 rows)

